Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Tiago Splitter,ATL,31,6.9166,245,None,Brazil,2007,1,28,36,5.6,3.3,0.8,9.3,9,14.5,15.4,57.1,7.7
Tibor Pleiss,UTA,26,7.25,256,None,Germany,2010,2,31,12,2,1.3,0.2,-6,9.5,13.4,19.9,46.4,4.3
Tim Duncan,SAS,40,6.9166,250,Wake Forest,U.S. Virgin Islands,1997,1,1,61,8.6,7.3,2.7,13.7,8.7,23.4,17.4,52.3,15.3
Tim Frazier,NOP,25,6.0833,170,None,USA,2020,3,70,51,5.1,2.2,3.2,-0.5,3.9,12.6,19.8,49.9,33.9
Tim Hardaway Jr.,ATL,24,6.5,205,Michigan,USA,2013,1,24,51,6.4,1.7,1,6.1,0.9,9.7,16.4,56.3,8.9
Timofey Mozgov,CLE,29,7.0833,275,None,Russia,2020,3,70,76,6.3,4.4,0.4,0.8,9.7,18.7,16.5,59.3,3.9
Tobias Harris,DET,23,6.75,235,Tennessee,USA,2011,1,19,76,14.7,6.7,2.2,-0.5,4.2,18.4,19.5,56,10.6
Toney Douglas,NOP,30,6.1666,195,Florida State,USA,2009,1,29,61,8.7,2.3,2.6,-4.8,2,11.1,19.2,54.3,18.8
Tony Allen,MEM,34,6.3333,213,Oklahoma State,USA,2004,1,25,64,8.4,4.6,1.1,-1.4,7.1,14.3,17,50.5,6.8
Tony Parker,SAS,34,6.1666,185,None,France,2001,1,28,72,11.9,2.4,5.3,10.6,1,8.9,21.4,54.6,29.4
Tony Snell,CHI,24,6.5833,200,New Mexico,USA,2013,1,20,64,5.3,3.1,1,4.5,1.6,13.2,13.7,47.8,7
Tony Wroten,NYK,23,6.5,205,Washington,USA,2012,1,25,8,8.4,2.6,2.5,-24.2,1.5,14.1,32,41.2,27.4
Trevor Ariza,HOU,31,6.6666,215,UCLA,USA,2004,2,43,81,12.7,4.5,2.3,0.4,2.6,11.9,15.8,55.1,10
Trevor Booker,UTA,28,6.6666,228,Clemson,USA,2010,1,23,79,5.9,5.7,1.1,1.6,11.9,20.2,14.4,53.3,8.3
Trey Burke,UTA,23,6.0833,191,Michigan,USA,2013,1,9,64,10.6,1.8,2.3,-2,1.5,8,24.7,50.7,20.1
Trey Lyles,UTA,20,6.8333,234,Kentucky,Canada,2015,1,12,80,6.1,3.7,0.7,-0.9,4.8,20.3,18.3,51.7,7.2
Tristan Thompson,CLE,25,6.75,238,Texas,Canada,2011,1,4,82,7.8,9,0.8,7.9,13.3,23.3,11.6,61.1,4
Troy Daniels,CHA,24,6.3333,205,Virginia Commonwealth,USA,2020,3,70,43,5.6,1.3,0.5,-2.4,1.6,11.9,20.2,63.4,8.3
Ty Lawson,IND,28,5.9166,195,North Carolina,USA,2009,1,18,66,5.7,1.8,3.6,-6.2,1.9,7.2,14.7,47.6,25.1
Tyler Ennis,MIL,21,6.25,194,Syracuse,Canada,2014,1,18,46,4.5,1.6,2.1,-5.5,2.3,10.8,17.3,51,22.5
Tyler Hansbrough,CHA,30,6.75,250,North Carolina,USA,2009,1,13,44,2.4,2,0.2,-1.2,11.9,17.4,14.6,52.2,3.8
Tyler Johnson,MIA,24,6.3333,186,Fresno State,USA,2020,3,70,36,8.7,3,2.2,2.4,3.8,10.4,17.2,57.9,15.1
Tyler Zeller,BOS,26,7,253,North Carolina,USA,2012,1,17,60,6.1,3,0.5,-3.4,9.1,16.8,23,53.9,7.3
Tyreke Evans,NOP,26,6.5,220,Memphis,USA,2009,1,4,25,15.2,5.2,6.6,-0.9,2.9,15.9,25.4,53.4,36.6
Tyson Chandler,PHX,33,7.0833,240,None,USA,2001,1,2,66,7.2,8.7,1,-12.6,11.6,27.2,12.8,60.6,6.4
Tyus Jones,MIN,20,6.1666,195,Duke,USA,2015,1,24,37,4.2,1.3,2.9,-10,1.4,8.3,15.9,45,27.8
Udonis Haslem,MIA,36,6.6666,235,Florida,USA,2020,3,70,37,1.6,2,0.4,0,5,30.1,13.6,43.2,8
Victor Oladipo,ORL,24,6.3333,210,Indiana,USA,2013,1,2,72,16,4.8,3.9,-0.6,2.2,13.5,22.8,53.4,18.2
Vince Carter,MEM,39,6.5,220,North Carolina,USA,1998,1,5,60,6.6,2.4,0.9,-3,3.3,13.2,18.1,52,8.9
Walter Tavares,ATL,24,7.25,260,None,Cape Verde,2020,3,70,11,2.3,1.9,0.3,-3.1,13.2,22.2,16.8,55.5,5.5
Wayne Ellington,BKN,28,6.3333,200,North Carolina,USA,2009,1,28,76,7.7,2.3,1.1,-10.6,1.3,10.7,17.6,49.8,8.2
Wesley Johnson,LAC,28,6.5833,215,Syracuse,USA,2010,1,4,80,6.9,3.1,0.6,3.3,2.4,13.7,15.7,51.3,4.5
Wesley Matthews,DAL,29,6.4166,220,Marquette,USA,2020,3,70,78,12.5,3.1,1.9,2.7,1.1,8.9,17.4,53.2,8.8
Will Barton,DEN,25,6.5,175,Memphis,USA,2012,2,40,82,14.4,5.8,2.5,-3.5,2.8,20.2,23.1,53.5,14.7
Willie Cauley-Stein,SAC,22,7,240,Kentucky,USA,2015,1,6,66,7,5.3,0.6,-2.7,10.5,16.6,13.3,58.8,3.8
Willie Reed,BKN,26,6.8333,220,Saint Louis,USA,2020,3,70,39,4.7,3.1,0.3,-7.9,13.2,20.6,18,57.9,3.9
Xavier Munford,MEM,24,6.25,180,Rhode Island,USA,2020,3,70,14,5.7,2.2,1.6,-9.5,1.3,14.4,17.2,48.1,13.6
Zach LaVine,MIN,21,6.4166,189,UCLA,USA,2014,1,13,82,14,2.8,3.1,-5.5,1.4,10,23.3,54.8,18.7
Zach Randolph,MEM,34,6.75,260,Michigan State,USA,2001,1,19,68,15.3,7.8,2.1,-2,10,21,24.7,51.9,12.5
Zaza Pachulia,DAL,32,6.9166,275,None,Georgia,2003,2,42,76,8.6,9.4,1.7,0.9,13.7,26.2,16.4,55,10.1
