,X,Y
256,-44.863326328,-63.2224989543
257,-22.887303802,-81.337032522
258,-71.8481883835,-30.2261843051
259,-69.7911118555,-37.2189330568
260,-64.8436627128,-67.2418382246
261,-78.872266992,-75.2421022652
262,-33.8679825849,-76.2853352614
263,-99.8297368872,-72.3273395012
264,-69.8181615451,-38.2161323138
265,-102.827953273,-77.2461159062
266,-117.862045396,-55.209411065
267,-48.7825073436,-48.1134708436
268,-102.817133665,-5.18636292126
269,-100.84216313,-79.287684902
270,-44.867577826,-46.2255382248
271,-114.858784091,-80.2779658133
272,-69.8546020364,-66.2855872111
273,-75.818254162,-78.223328903
274,-69.8096778913,-26.1069221576
275,-62.8309087945,-53.2291360173
276,-69.8294886424,-72.1622904986
277,-102.84964965,-78.2043428749
278,-23.8660765024,-80.2687685756
279,-108.865331375,-77.300091846
280,-70.8245200643,-65.2242028011
281,-27.8461827017,-68.2371452252
282,-27.8528817733,-53.149450616
283,-99.8346209886,-74.2521048067
284,-81.8301789629,-35.2105383968
285,-16.8434887462,-69.2748970967
286,-27.83304483,-59.2657593369
287,-87.8778093553,-82.2240827773
288,-122.841234055,-63.1853381142
289,-96.8285317237,-79.2060704327
290,-69.8243222383,-76.3485704415
291,-69.8659386515,-68.0499301352
292,-72.8459890786,-8.21118619852
293,-67.8309081065,-29.2064357167
294,-69.8887226907,-67.2680826149
295,-102.839478371,-75.0226924743
296,-69.8208756525,-29.0340927731
297,-116.844304349,-12.0339446262
298,-69.8279986222,-76.0432015875
299,-66.8353925611,-47.2334400826
300,-27.8478963108,-74.1572991586
301,-69.8477354228,-58.0619464185
302,-69.8069916553,-52.2582476566
303,-69.8520629271,-53.0585665315
304,-69.8333511937,-75.1786393649
305,-69.8539609733,-68.1514013319
306,-44.8438867983,-80.2843344699
307,-77.8477212184,-61.2456999155
308,-51.8600738466,-61.252396572
309,-44.8733638602,-61.2717189638
310,-69.8522627871,-79.0825908897
311,-77.8759858298,-62.2189739597
312,-44.8258163044,-64.2717972874
313,-29.823704357,-72.2597804131
314,-71.843942235,-81.24453435
315,-27.8465929173,-82.2625450897
316,-102.850839226,-76.2220605233
317,-29.8176557664,-30.2375293525
318,-89.8658793422,-76.0562038684
319,-93.8625669899,-78.2076959861
320,-93.798006523,-35.2169150903
321,-39.8254008473,-61.2567772818
322,-45.8092209659,-20.2694993141
323,-95.8689328634,-54.2499399943
324,-46.8046211856,-7.26769926295
325,-75.8818621321,-56.2890046634
326,-27.8218719293,-31.2610797025
327,-29.8436695101,-47.2300571228
328,-10.8313929002,-60.2534662928
329,-109.841880128,-75.2074477162
330,-27.8231737053,-61.2450394127
331,-69.8273307299,-79.077202595
332,-60.7945293802,-20.2217163447
333,0.144393866711,-41.2841438198
334,-69.8884602072,-81.2751766622
335,-54.8186224624,-39.2302136557
336,-99.826427169,-60.2244486358
337,-113.850829861,-2.17887597026
338,-46.7901352782,-5.22689086277
339,-69.8280321179,-60.1843690475
340,-69.808458549,-57.0724408535
341,-46.8435437688,-67.2523651067
342,-44.8173808611,-59.2281837742
343,-91.8527707097,-54.2161684054
344,-69.8614531581,-70.1519418967
345,-60.8585821737,-73.0824635453
346,-69.8298457576,-80.2056507637
347,-69.8456668964,-66.1681466187
348,-69.7382662595,-12.1682622029
349,-91.8071380682,-65.1935936044
350,-40.841398514,-78.2283646167
351,-102.845539395,-49.2055882188
352,-18.8772498279,-45.2820496212
353,-91.8447130432,-41.2330195286
354,-69.8219425747,-68.1979198312
355,-69.8409816417,-69.139765867
356,-14.8174689028,-7.24699791824
357,-32.8742030424,-75.2627568876
358,-71.8424617627,-66.2262977442
359,-99.8379397834,-82.2182155931
360,-69.8689362077,-59.018367706
361,-74.846254933,-34.1989381205
362,-3.8841454265,-71.2865942561
363,-46.8452131158,-79.2418338793
364,-89.8796085959,-81.045402615
365,-69.8240101206,-72.2424744212
366,-31.8547742436,-81.3350679912
367,-52.8343484914,-81.2878639928
368,-44.8393132755,-68.2423013504
369,-63.8663491043,-23.2270106771
370,-4.82961655997,-59.2603597227
371,-34.8662361091,-36.2251411809
372,-46.8820741346,-72.319072293
373,-95.7871922094,-1.21233673219
374,-66.8854920645,-82.2494504186
375,-108.866060079,-81.207888718
376,-103.870489455,-70.1900670573
377,-47.8447763661,-46.2216178179
378,-69.8863638217,-81.0509667911
379,-26.8637223492,-41.2399139388
380,-71.8717986728,-80.2515179328
381,-71.8487125161,-37.2103222004
382,-7.86507882431,-79.3536780035
383,-1.84493431736,-74.2664776995
384,-8.8203222109,-51.2652678657
385,-69.8764855389,-76.2537678755
386,-98.8543183638,-67.2295109765
387,-36.7747756161,-25.0820815886
388,-94.8286188245,-82.2260648807
389,-27.8681277031,-79.2957224775
390,-28.8590356977,-58.2686905861
391,-1.83044394835,-29.2619692423
392,-106.87539658,-62.2044237898
393,-32.8160965751,-81.2526467395
394,-22.8412286139,-70.2996037012
395,-69.8185045355,-61.0896518105
396,-54.8716608546,-15.2059479931
397,-102.87090572,-80.3305544541
398,-12.8302652522,-66.3054881062
399,-102.817523187,-37.1953345377
400,-27.8256933933,-36.240820961
401,-69.8107221878,-34.1986520034
402,-121.80741087,-3.17518059113
403,-44.7907266165,-25.1754929884
404,-69.8688109542,-61.1791387352
405,-16.8303409797,-31.2855701184
406,-69.8259070563,-78.0944063569
407,-69.8453201254,-40.1584379729
408,-27.8688222517,-44.2534985308
409,-102.856617052,-82.2233091067
410,-22.8852445602,-55.2420012731
411,-59.897959804,-78.2505131178
412,-69.8831042823,-78.2334526087
413,-119.791552265,-7.18649139188
414,-11.8567303313,-52.2864639462
415,-1.84359312959,-59.258402848
416,-3.85199901054,-43.2496946461
417,-20.8379454437,-12.2569907048
418,-113.82428313,-57.2075679893
419,-1.83289873887,-73.2821710821
420,-24.8774865606,-79.3879961168
421,-57.8897106731,-58.2310579928
422,-55.8150905963,-10.2203742289
423,-81.8240798827,-80.1481897157
424,-1.87741149206,-81.2825715594
425,-72.8294588111,-47.2500111733
426,-91.8509756756,-73.2137399711
427,-44.8100246684,-39.2291708411
428,-46.8658667457,-77.2219570051
429,-46.8129869638,-50.2554821565
430,-113.876015654,-73.2102269121
431,-54.8638615795,-39.2117423406
432,-69.8559986136,-75.2013232001
433,-35.8526955094,-73.2725195598
434,-69.8217188459,-2.10130133961
435,-44.8405421467,-71.2255874881
436,-69.8025764825,-36.0541699432
437,-69.7818071253,-12.0972317628
438,-112.820689067,-61.2083279656
439,-69.8869266662,-51.2253497123
440,-60.8560783797,-51.2337045435
441,-69.8058956825,-76.1783555498
442,-97.8415376658,-76.2492092904
443,-30.8694772343,-61.2662876598
444,-77.8559054638,-64.2227838714
445,-69.8758999038,-72.1410911419
446,-68.8685876321,-64.2164858668
447,-113.82951557,-8.22161469813
448,-102.862594473,-81.2377165503
449,-17.8519657245,-79.2461364183
450,-60.8737915017,-64.2574319411
451,-46.8378301575,-80.0744172541
452,-99.8362153915,-82.0338677705
453,-110.851536402,-43.1989627346
454,-71.8734096049,-66.2370341854
455,-95.8538692973,-46.0462805066
456,-71.8133478583,-44.2130938053
457,-31.8630129959,-36.2605676714
458,-71.8189392776,-60.2300613446
459,-58.8238087586,-25.3082878377
460,-69.8337571081,-66.2136017254
461,-27.8567348409,-37.2555760298
462,-29.8225231042,-37.2299061401
463,-40.8602029579,-72.3002092421
464,-71.8476889393,-60.2252800898
465,-69.7763961411,-11.0626611527
466,-71.8748072782,-76.2284269854
467,-95.8639081269,-80.2078352707
468,-55.8564599895,-78.2686325058
469,-58.89843271,-82.2584385137
470,-46.8333448035,-66.2377090097
471,-88.8364879796,-39.2036532137
472,-84.8564022799,-14.2134585391
473,-102.885315488,-82.2501807441
474,-61.8144473012,-68.2735656603
475,-69.8015229382,-76.1061762885
476,-44.8373305331,-63.2871103008
477,-27.8506372577,-75.2828354797
478,-27.8315867991,-61.3025507898
479,-35.8422374404,-65.2982789401
480,-46.8471485111,-74.2604327659
481,-25.827734031,-55.2915563702
482,-27.8540786241,-82.305999351
483,-54.8460002207,-94.2779455098
484,-29.8565934522,-93.2819415761
485,-27.8439981861,-80.287848815
486,-46.8469204543,-72.2754436442
487,-54.8159289375,-56.2616031314
488,-44.8260501438,-66.2986735153
489,-29.8461163117,-93.2744353554
490,-41.8304505791,-62.2545736169
491,-27.8303668902,-90.3241152367
492,-25.8287843045,-86.2709466317
493,-1.8180564967,-63.3095218336
494,-27.8179243564,-67.309275495
495,-3.8464500103,-94.2961650682
496,-1.82794351316,-61.3010953313
497,-44.8282551549,-66.2998102943
498,-27.8298474296,-80.2788903586
499,-121.847685847,-90.2171722399
500,-69.826116483,-75.0964128246
501,-77.8243532037,-92.2638593694
502,-109.829551801,-56.2280732442
503,-95.8470731466,-70.2461837295
504,-100.807382397,-79.0799536856
505,-69.8103897657,-65.2587026306
506,-69.8507909747,-78.2536413246
507,-121.813901786,-61.2118292756
508,-112.841329723,-69.2617957357
509,-102.844191762,-64.2101057834
510,-93.8557584915,-92.253349695
511,-95.8095079188,-73.1729084963
512,-69.8603025358,-92.2011494026
513,-69.8142246729,-71.2790847176
514,-94.8429575149,-90.2403056146
515,-95.820765422,-61.2466809049
516,-69.8367332787,-95.2812884757
517,-102.849043481,-74.2283333547
518,-121.845009835,-93.2259072258
519,-120.814117249,-57.2408897185
520,-99.8052936373,-69.1572714761
521,-69.862639413,-95.2774580498
522,-69.8266382616,-86.2422131876
523,-61.8223517283,-83.2596425143
524,-75.8469965603,-84.25424278
525,-69.8340716176,-68.2573346389
526,-69.834534765,-60.2750855419
527,-60.8298008591,-79.2846775921
528,-67.8500341225,-90.2702142979
529,-71.8119186196,-66.2621008383
530,-69.8244747373,-93.2775310291
531,-57.8520097449,-83.2588751118
532,-81.8543783443,-94.2700057937
533,-69.8230074257,-78.085099075
