,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
286,19,28,6.6666,235,28,36,25,3,70,59,8.2,2.2,0.9,89,3,7.9,17.2,55.7,6.6
287,19,24,6.1666,200,88,36,25,3,70,82,7.6,3.5,2.5,87,2.3,13.1,15.5,49,16.1
288,13,23,6.75,230,123,36,20,1,27,63,5.5,5,0.7,84,8.6,18.4,12.6,54.4,5.5
289,11,27,6.75,255,97,36,16,2,50,79,5.4,5.4,1,96,11.4,18,13.1,53.2,7
290,5,31,6.6666,250,70,36,8,1,1,76,25.3,7.4,6.8,101,4.7,18.7,31.1,58.8,33.9
291,9,33,6.25,194,70,3,8,1,28,68,6.4,1.7,1.2,93,2.8,9,17.9,54.5,11.2
292,8,25,6.4166,189,73,36,18,2,52,8,2.5,0.9,1.4,60,0,14.9,26.1,37.4,30.6
293,19,33,6.75,220,68,36,25,3,70,29,1.8,1.7,0.4,80,11.5,13.7,17.5,40.1,10.7
294,13,29,6.0833,175,70,36,10,2,45,67,15.3,2.5,2.5,79,1.7,8,22.7,58.4,14.9
295,12,29,6.6666,230,103,4,13,2,37,75,3.1,2.3,0.4,101,5.3,9,9.7,49.8,3.2
296,27,23,7,220,70,3,18,1,16,29,2.2,1.6,0.2,98,8.7,13.6,12.5,64.2,4.4
297,24,23,6.5833,185,117,10,25,3,70,12,1.2,0.3,0.1,32,0,11.8,26.6,33.7,6.7
298,27,36,6.75,240,70,0,7,2,55,76,8.7,4.8,0.9,87,6.1,19.9,19.3,52.3,6.6
299,18,27,6.75,225,67,36,15,1,16,47,7,3.1,1.1,86,3.2,16.6,17.2,52.6,9.2
300,15,31,6.75,220,28,14,9,1,7,74,12.3,6,1.9,91,5.2,15.5,17.1,54.9,8.7
301,26,38,6.5,205,70,0,4,2,57,58,9.6,2.5,3.1,104,2.8,11.5,23.1,57.3,23.4
302,14,31,7.0833,255,70,30,12,2,48,52,16.6,7,3.8,89,3.6,20.2,23.9,52.8,19.5
303,13,33,6.25,200,70,3,25,3,70,53,4.5,1.7,3.4,90,2.3,9.3,16.5,48.8,32.7
304,29,32,6.9166,240,70,24,10,2,57,75,13.5,9.9,1.4,90,10.7,25.2,18.8,59.2,7.2
305,25,30,6.4166,210,70,17,12,1,18,68,10.2,1.7,1.9,83,0.6,7.1,19.9,50,11.7
306,8,26,6.75,235,45,36,16,1,14,80,14.1,5.1,2.5,91,3.4,12.6,18.4,53.1,10.7
307,2,22,6.3333,220,78,36,19,1,6,61,9.1,4.2,3,92,4.7,11.7,17.2,46.3,16.2
308,29,29,6.3333,205,52,36,14,2,43,61,9.7,2.5,1.4,89,3.7,11.2,24,51.1,12.5
309,15,30,6.1666,190,45,36,13,2,34,61,10.3,2.6,3.8,92,2,11.1,21.8,56.1,27
310,21,21,6.6666,218,70,8,20,1,5,79,6.1,2.2,1.4,88,2.2,12.1,16.9,54.1,11.3
311,1,24,6.25,190,78,36,19,2,44,62,5.9,2,1.5,78,2.6,12,18.7,50,14.2
312,29,26,6.8333,245,45,36,16,1,13,64,12,5.5,1.9,85,4.9,19.5,24.3,48.9,12.5
313,9,28,6.8333,255,30,36,13,1,16,72,7.1,3.3,0.8,91,10.1,20.5,30.2,50.6,12.6
314,3,30,6.75,237,72,36,10,1,2,81,11.7,6.4,1.4,95,5.9,18.7,16.9,58.5,7.4
315,24,26,6.9166,235,28,36,18,1,22,82,9.1,7.7,2.8,91,10.6,22.3,17.3,56.4,16.1
316,14,36,6.5833,226,103,36,7,2,45,76,10,5.5,2.1,84,4.1,17.9,17.7,50.3,11.7
317,26,36,6.8333,235,30,36,8,2,45,30,2.5,0.9,0.3,107,1.9,13.3,14.6,64.7,6.1
318,5,25,6.3333,198,90,1,25,3,70,76,7.5,2.1,4.4,100,2.1,7.6,15.9,52.7,26.5
319,24,23,6.75,215,94,36,17,1,15,78,6.4,3.6,0.9,91,7.6,13.3,15.5,54.1,6.8
320,13,36,6.5833,260,94,36,4,1,16,35,5,2.5,0.8,84,3.3,12.5,16.5,43.5,7.8
321,24,24,7.0833,245,40,36,17,1,11,61,8.4,5.1,1.5,91,4.2,21.3,17.6,56.1,10.3
322,10,27,6.8333,235,46,36,13,1,2,20,12.8,4.9,0.8,81,8.4,19.8,29,56.3,8.6
323,16,24,6.5,190,96,36,18,1,11,54,11.5,5.1,5.2,86,3.3,15.4,21,49.8,26.4
324,3,22,6.5833,232,47,36,17,1,2,7,12.7,6.4,1.3,105,6.5,16,17.9,60.3,6.9
325,14,28,6.0833,175,76,36,12,1,4,56,15.3,2.9,6.1,91,1.7,9.3,23.1,53.8,32.4
326,4,35,6.75,230,28,36,7,1,3,31,7.2,2.7,1.3,84,1.2,11.6,14.4,54.3,7.6
327,7,36,6.6666,218,30,36,5,1,5,47,1.3,1.1,0.9,75,1.6,14,9.2,50.8,15.9
328,0,24,6.9166,240,11,36,18,2,44,60,3.3,2,0.6,87,7.5,15.7,15.8,57.6,9.9
329,0,27,6.6666,237,110,36,17,2,43,75,6.2,2.7,1,95,5.2,14.4,17.6,57.5,10.6
330,16,27,6.9166,249,28,36,17,1,26,61,5.1,3.8,0.3,85,12.1,17.4,15.4,60.6,3
331,23,30,6.75,242,70,2,25,3,70,79,12.2,3.8,1.1,84,3.5,16.4,23.3,57.1,8.8
332,20,24,6.8333,255,61,36,19,1,21,20,1.3,0.9,0.2,57,6.8,22.2,20.8,47.4,7.1
333,5,33,6.0833,198,0,36,8,2,47,41,8.2,1.8,2.4,85,0.9,9.9,22.7,52.7,23.1
334,11,30,6.25,185,70,36,10,2,40,81,13.8,3.3,4.7,92,1.7,9.1,21,50.4,22.2
335,10,22,6.6666,240,55,36,20,2,32,39,3.6,1.7,0.4,95,7.6,10.8,14.4,63.5,6.7
336,11,20,6.9166,243,100,36,20,1,11,60,10.3,5.5,0.7,88,5.4,20.7,21.1,53.1,5
337,18,32,5.75,180,114,36,10,1,21,2,0,0,2,46,0,0,1.9,0,28.6
338,20,38,6.8333,250,47,36,3,1,29,5,1.6,0.8,0,80,5.6,15.8,20.6,68,0
339,17,28,6.8333,240,70,28,25,3,70,60,5.1,3.5,1.4,84,5.4,17.8,12.7,59.4,11.5
340,29,33,6.9166,250,70,3,7,1,7,57,9.2,4.5,1.7,92,5.4,22.7,22.3,56.4,14.5
341,22,22,6.9166,228,47,36,18,1,6,67,11.1,8.1,1.8,79,8.5,22,18.9,54.4,10.7
342,20,35,6.8333,255,45,36,8,1,12,59,2.1,2.9,0.9,93,10.7,16.1,10.7,49.8,10.3
343,13,31,6.5833,210,92,36,12,1,16,54,7.3,1.8,0.6,79,1.5,9.2,18.8,48.3,5.8
344,3,27,6.6666,200,70,11,13,1,25,70,14.9,6.1,5.8,94,2.5,16.6,21.5,54.6,26.2
345,22,22,6.5,205,61,5,19,1,8,73,8.5,2.5,1.9,78,1.3,10.1,16.6,51.7,11.9
346,7,21,6.8333,250,70,28,25,3,70,80,10,7,2.4,91,11.3,24.8,19.8,58.2,17.6
347,4,25,6.8333,220,70,21,16,1,23,66,11.8,5.5,1.5,90,3.9,19.7,21.1,56.4,9.5
348,17,30,6.9166,307,70,21,13,2,31,12,4.5,1.8,0.9,71,5.3,11.8,20.8,45.9,13.1
349,21,25,7,260,92,21,16,1,16,65,18.2,8.9,2.8,87,9.2,22.3,26.7,53.1,15.4
350,24,20,6.75,240,41,36,19,1,9,78,3.6,3.9,0.4,87,8.3,20.2,13.2,47.1,3.7
351,27,23,6.3333,215,103,36,20,2,46,49,5.6,2.3,1,94,2.6,14.2,17.9,54.1,10.2
352,18,27,6.1666,175,19,36,16,1,28,45,10.6,3.4,3.7,84,0.9,13.7,21.6,46.5,21.9
353,16,28,6.4166,210,92,36,13,1,3,41,7.8,2.6,2.9,88,1.3,9.4,16.9,47.4,15.6
354,18,29,7,255,70,34,13,2,36,68,4,6.1,0.4,80,10.3,28,11.5,55.1,3.2
355,25,28,6.75,225,70,16,14,1,23,69,11.8,5.9,1.4,89,3.4,19.6,17.7,58.7,7.4
356,18,27,6.4166,220,15,36,17,2,36,7,3.7,2.1,0.3,73,3.5,14.1,16.9,34.6,3.1
357,29,23,6.6666,198,33,36,18,1,3,75,11.6,5.2,1.6,90,4.7,14.8,16,56.4,7.6
358,14,23,6.5,230,72,36,19,1,26,66,6.2,2.6,0.6,84,2,13.6,16.4,47,4.5
359,23,31,6.5,245,100,36,11,2,35,82,8,6.2,2.2,82,7,15.2,12.7,50.6,10.4
360,12,39,6.25,185,70,0,25,3,70,59,2.5,1.9,2.2,87,5,10.3,11.2,48.2,23.5
361,24,23,6.4166,206,75,36,20,2,41,34,1.1,0.9,0.3,83,8,14.4,18.8,35.2,11.5
362,10,27,6.0833,185,4,36,14,2,42,71,9.9,3.5,3.4,93,4,9.7,15.5,55.3,17.5
363,27,27,6.75,235,47,36,15,1,14,79,6.9,4.3,1.2,99,4.6,14.6,13.1,53.4,7
364,26,27,6,185,90,1,14,2,55,81,8.5,2,2.8,102,1.9,8.7,19.3,54.1,19.7
365,4,35,7,250,70,30,6,1,3,72,16.5,11,4.1,88,7.3,27.7,24.6,52.9,21.5
366,11,26,6.75,220,32,36,15,1,10,81,23.1,7,4.1,93,3.1,18.7,30.1,55.7,20.3
367,0,31,6.6666,246,53,36,11,2,47,81,17.1,9,3.3,94,8.3,21.3,24,55.6,16.2
368,12,38,6.5833,235,45,36,3,1,10,68,6.1,2.7,1,92,1.1,15.1,18,48.9,8.8
369,24,25,5.9166,175,64,36,25,3,70,23,3.3,1.3,3.3,83,1.1,10.9,17.8,43.3,39.5
370,25,25,6.5833,240,5,36,17,2,37,59,5.2,3.2,0.5,82,7.9,15.4,13.1,62.9,4.5
371,2,22,6.4166,185,35,36,20,1,28,36,2.7,1,0.4,86,0.6,13.1,15.5,48,6.8
372,25,30,6.0833,186,47,36,11,1,21,72,11.9,6,11.7,86,3.3,15,18.7,50.6,47.3
373,11,24,6.75,250,96,36,20,2,36,1,4,1,0,4,25,0,15.4,100,0
374,29,30,6.25,190,67,36,12,2,56,82,9.9,2.5,2.9,88,1.7,12.3,22,56.5,22.8
375,20,32,6.3333,213,109,36,11,1,7,81,5.9,1.9,2,91,1.6,8.6,16,46.1,14.4
376,16,19,6.5,202,104,36,20,1,17,70,3.1,1.3,0.6,83,1.2,8.6,13.3,39.8,5.5
377,26,37,6.5833,215,48,36,7,2,52,46,2.7,1.2,0.5,101,0.8,13,12.9,55.8,7.9
378,28,24,6.0833,179,70,3,18,2,47,81,5.9,1.5,2.1,93,1.4,8,17.6,53,19
379,26,25,6.25,190,27,36,18,2,36,41,3.3,1.1,1.5,93,1.8,9.6,16.8,44.9,18.5
380,6,32,6.0833,205,72,36,10,1,5,80,9.5,3.2,3.6,90,1.8,11.1,18.4,50.2,20.5
381,8,25,6.5833,205,72,36,18,1,25,37,3.3,1.8,0.7,82,3.4,15.1,11.7,58.3,10
382,8,26,6.25,208,8,36,16,1,24,79,18.8,3.2,6.2,91,2.5,9.2,28.8,53.5,34.4
383,5,36,6.5833,233,2,36,6,1,13,74,5.5,1.7,0.8,87,1.3,9.6,13.6,58.5,7
384,22,22,6.8333,245,9,36,20,2,37,51,5.6,2.6,0.6,87,9.9,12.1,17.5,56.4,7.3
385,17,25,6.3333,194,70,30,14,1,5,76,10.1,4.3,8.7,91,2,13.9,17.6,52.9,40.2
386,22,25,6.75,215,99,36,25,3,70,67,12.8,6.3,1.4,82,3.5,21.1,21.3,54.3,8.3
387,13,27,7,270,37,5,17,2,60,25,3.5,2.9,0.6,83,9.7,13.8,13.8,47.4,7.2
388,19,28,7,255,95,36,13,1,15,82,10.3,7.3,1.4,88,13.2,16.1,17.6,57.4,8.3
389,28,23,6.6666,206,28,36,19,1,23,79,14.5,3.4,2.7,92,1.8,10.7,21.8,54.2,14.2
390,11,30,6.4166,205,29,36,12,1,15,58,8.9,2.7,2.4,90,1.7,11.6,20.7,50.4,17.9
391,1,21,6.5833,220,2,36,20,1,23,29,5.8,5.3,1.5,87,6.7,19.9,13.2,51.9,10
392,23,33,6.1666,190,107,36,25,3,70,62,5.3,1.6,2.4,86,2.1,6.8,13.7,51.7,18.7
393,13,29,7.1666,270,33,36,13,1,17,81,5.9,4.9,1.2,72,7.1,15.4,13,50.7,8.2
394,25,29,6.6666,230,23,36,11,1,8,70,17.2,6.5,1.7,87,4.7,16,22.5,53.8,7.8
395,28,24,7.0833,245,70,11,18,1,27,61,9.1,11,1.5,94,13,27.3,14.3,58.2,7.3
396,14,25,6,165,55,36,19,2,47,15,1.5,0.6,0.7,66,1.7,14.3,23.9,41.5,31.4
397,20,27,6.25,200,103,36,13,1,4,80,23.5,7.8,10.4,100,6.1,17.8,31.3,55.4,46.8
398,18,28,6.8333,240,13,36,13,1,21,66,17,6,1.1,88,6.9,15.3,24.2,54.6,5.9
399,14,31,7,240,103,36,11,2,50,37,3.4,2.6,0.3,72,10.8,14.3,11.7,63.6,3.4
400,13,25,6.9166,230,28,36,18,2,48,36,4.2,3.4,0.6,89,4.6,22.9,17.6,44,7
401,6,30,7.1666,245,70,33,25,3,70,34,3.7,3.6,0.3,96,11.4,21.1,14.1,63.6,3.8
402,10,22,6.75,230,122,36,20,1,18,3,0,0.3,0,92,0,20,0,0,0
403,5,31,6.9166,260,45,26,13,2,56,25,0.9,1,0.1,86,14.3,15.4,13.4,52.7,5.2
404,19,32,6.5833,195,70,29,9,1,27,61,4.9,2.4,1.4,88,3,15.1,16.4,50.3,14.6
405,1,26,6.3333,219,17,36,25,3,70,31,11.1,1.8,0.9,77,2.1,8.3,23,57.6,7.8
406,20,26,6.8333,245,70,7,13,1,24,78,12.6,6.8,0.8,99,6.5,16,17.6,53.3,3.7
407,1,22,6.5833,208,70,26,18,1,19,40,2.4,1.5,0.9,91,2.4,15,12,56.2,11.4
408,25,25,6.1666,185,28,36,25,3,70,44,6.8,1.4,1.5,86,1.4,8.1,17.6,60.3,14.8
409,17,23,6.5,223,103,36,18,1,14,82,10.5,3.3,0.6,83,7.1,11.7,22.9,54.8,5.5
410,21,24,6.0833,175,23,36,19,1,24,55,3.7,1,1.8,84,1.6,8.7,20.2,46,25.3
411,1,23,5.9166,175,60,36,18,1,18,78,7.3,2.3,4.4,80,1.8,10.4,17.5,51.5,30
412,9,30,6.5833,192,70,36,9,1,4,78,6.3,2.2,3,98,3.2,8.9,14.5,58.1,22.2
413,11,25,6.9166,250,120,36,25,3,70,7,1.6,1.7,0.4,81,11.6,19.4,18.2,46.3,12
414,28,26,6.25,203,12,36,16,2,34,52,8.6,2.5,3.6,93,1.4,12.5,23.4,50.7,29.2
415,11,25,6.5833,225,2,36,18,1,23,59,4.2,2.8,1,94,4.9,15.6,13.1,54.3,9.3
416,23,29,6.5,205,4,36,13,2,39,43,2.5,1.2,1.1,79,1.4,10.9,13.2,45.9,14.8
417,4,23,6.5,200,21,36,19,2,38,12,4.8,1.4,1.8,73,2.5,9.4,21.3,42.3,29.7
418,3,28,7.0833,245,114,36,12,1,10,57,6,4.3,1.9,92,5.3,20.1,17.1,50.8,17.1
419,8,20,6.5833,245,2,36,20,1,8,73,8.1,4.2,1.6,86,3.6,16.4,19.6,46,11.3
420,9,28,6.25,190,25,36,14,1,7,79,30.1,5.4,6.7,108,2.9,13.1,32,66.9,31.5
421,8,36,6.25,172,58,36,8,2,38,58,4.4,1.5,3.4,86,1,9.2,14.8,51,31.1
422,16,33,6.8333,225,56,36,11,2,32,10,2.4,0.5,0,95,0,10.2,18,65.1,0
423,20,22,7,255,82,22,18,1,12,80,8,6.7,0.8,101,12.4,15.8,12.7,62.1,4.2
424,22,24,6.1666,200,2,36,25,3,70,81,6.1,3.1,4.5,82,2.9,15.4,17.1,51.1,36
425,23,22,6.6666,230,73,36,19,1,14,47,11,3.1,0.9,82,5.7,10,19.8,54.9,6.8
426,4,31,6.75,225,92,36,14,1,26,73,8.6,6.9,1.5,87,11.6,15.5,14.8,55.6,8.3
427,13,24,6.75,250,45,36,25,3,70,39,3.4,4,0.4,90,10,25.7,13,53.7,5.3
428,17,36,6.75,212,47,36,7,1,23,77,2.9,1.9,1,88,2.5,8.9,8.3,46.6,7.3
429,10,24,6.75,252,47,36,17,1,18,50,8.7,4.2,0.8,79,6.4,16.6,19.5,51.9,6.9
430,27,25,6.5833,195,114,36,17,1,8,73,9.9,2.5,0.8,95,1.4,10.4,18.3,55.1,5.3
431,2,22,6.1666,190,55,36,20,1,16,39,1.8,1.6,0.9,83,7.1,13.4,17.6,32.6,19.9
432,0,32,6.5833,220,70,32,11,1,13,75,6.4,4.5,1.4,93,3.4,17.1,12.5,57.9,9.3
433,1,28,6.6666,221,36,36,12,1,12,73,15.1,9,1.9,85,8.3,22.7,21.9,53.3,9.4
434,19,23,6.5833,205,70,15,19,2,51,2,3,0.5,0,63,0,12.5,28.8,75,0
435,1,25,6.8333,237,45,36,17,1,5,71,4.3,5.1,0.6,76,15.2,29.3,19.2,45.3,8
436,0,31,6.9166,245,70,3,12,1,28,36,5.6,3.3,0.8,99,9,14.5,15.4,57.1,7.7
437,28,26,7.25,256,70,13,15,2,31,12,2,1.3,0.2,84,9.5,13.4,19.9,46.4,4.3
438,26,40,6.9166,250,113,35,2,1,1,61,8.6,7.3,2.7,103,8.7,23.4,17.4,52.3,15.3
439,18,25,6.0833,170,70,36,25,3,70,51,5.1,2.2,3.2,89,3.9,12.6,19.8,49.9,33.9
440,0,24,6.5,205,61,36,18,1,24,51,6.4,1.7,1,96,0.9,9.7,16.4,56.3,8.9
441,5,29,7.0833,275,70,26,25,3,70,76,6.3,4.4,0.4,90,9.7,18.7,16.5,59.3,3.9
442,8,23,6.75,235,98,36,16,1,19,76,14.7,6.7,2.2,89,4.2,18.4,19.5,56,10.6
443,18,30,6.1666,195,31,36,14,1,29,61,8.7,2.3,2.6,85,2,11.1,19.2,54.3,18.8
444,14,34,6.3333,213,78,36,9,1,25,64,8.4,4.6,1.1,88,7.1,14.3,17,50.5,6.8
445,26,34,6.1666,185,70,11,6,1,28,72,11.9,2.4,5.3,100,1,8.9,21.4,54.6,29.4
446,4,24,6.5833,200,69,36,18,1,20,64,5.3,3.1,1,94,1.6,13.2,13.7,47.8,7
447,19,23,6.5,205,114,36,17,1,25,8,8.4,2.6,2.5,65,1.5,14.1,32,41.2,27.4
448,10,31,6.6666,215,103,36,9,2,43,81,12.7,4.5,2.3,90,2.6,11.9,15.8,55.1,10
449,28,28,6.6666,228,18,36,15,1,23,79,5.9,5.7,1.1,91,11.9,20.2,14.4,53.3,8.3
450,28,23,6.0833,191,61,36,18,1,9,64,10.6,1.8,2.3,88,1.5,8,24.7,50.7,20.1
451,28,20,6.8333,234,47,5,20,1,12,80,6.1,3.7,0.7,89,4.8,20.3,18.3,51.7,7.2
452,5,25,6.75,238,100,5,16,1,4,82,7.8,9,0.8,97,13.3,23.3,11.6,61.1,4
453,3,24,6.3333,205,111,36,25,3,70,43,5.6,1.3,0.5,87,1.6,11.9,20.2,63.4,8.3
454,11,28,5.9166,195,72,36,14,1,18,66,5.7,1.8,3.6,83,1.9,7.2,14.7,47.6,25.1
455,16,21,6.25,194,96,5,19,1,18,46,4.5,1.6,2.1,84,2.3,10.8,17.3,51,22.5
456,3,30,6.75,250,72,36,14,1,13,44,2.4,2,0.2,88,11.9,17.4,14.6,52.2,3.8
457,15,24,6.3333,186,32,36,25,3,70,36,8.7,3,2.2,92,3.8,10.4,17.2,57.9,15.1
458,2,26,7,253,72,36,17,1,17,60,6.1,3,0.5,86,9.1,16.8,23,53.9,7.3
459,18,26,6.5,220,59,36,14,1,4,25,15.2,5.2,6.6,89,2.9,15.9,25.4,53.4,36.6
460,23,33,7.0833,240,70,36,6,1,2,66,7.2,8.7,1,77,11.6,27.2,12.8,60.6,6.4
461,17,20,6.1666,195,28,36,20,1,24,37,4.2,1.3,2.9,80,1.4,8.3,15.9,45,27.8
462,15,36,6.6666,235,30,36,25,3,70,37,1.6,2,0.4,90,5,30.1,13.6,43.2,8
463,21,24,6.3333,210,41,36,18,1,2,72,16,4.8,3.9,89,2.2,13.5,22.8,53.4,18.2
464,14,39,6.5,220,72,36,3,1,5,60,6.6,2.4,0.9,87,3.3,13.2,18.1,52,8.9
465,0,24,7.25,260,70,6,25,3,70,11,2.3,1.9,0.3,86,13.2,22.2,16.8,55.5,5.5
466,1,28,6.3333,200,72,36,14,1,28,76,7.7,2.3,1.1,79,1.3,10.7,17.6,49.8,8.2
467,12,28,6.5833,215,96,36,15,1,4,80,6.9,3.1,0.6,93,2.4,13.7,15.7,51.3,4.5
468,6,29,6.4166,220,56,36,25,3,70,78,12.5,3.1,1.9,92,1.1,8.9,17.4,53.2,8.8
469,7,25,6.5,175,59,36,17,2,40,82,14.4,5.8,2.5,86,2.8,20.2,23.1,53.5,14.7
470,25,22,7,240,47,36,20,1,6,66,7,5.3,0.6,87,10.5,16.6,13.3,58.8,3.8
471,1,26,6.8333,220,89,36,25,3,70,39,4.7,3.1,0.3,82,13.2,20.6,18,57.9,3.9
472,14,24,6.25,180,85,36,25,3,70,14,5.7,2.2,1.6,80,1.3,14.4,17.2,48.1,13.6
473,17,21,6.4166,189,103,36,19,1,13,82,14,2.8,3.1,84,1.4,10,23.3,54.8,18.7
474,14,34,6.75,260,62,36,6,1,19,68,15.3,7.8,2.1,88,10,21,24.7,51.9,12.5
475,6,32,6.9166,275,70,12,8,2,42,76,8.6,9.4,1.7,90,13.7,26.2,16.4,55,10.1
476,21,28,6.6069876241,231.147622163,45,36,19,1,27,63,12.0808083266,3.8846464945,3.7839208257,89.4856671782,9.6239312896,15.2600094841,20.9271955811,57.9136016856,25.6435563617
477,19,28,6.7300068134,224.601303046,28,36,16,2,46,75,11.4055153875,3.9143191987,2.5774964523,93.9373960461,9.4822737143,22.24344609,22.7488282734,59.3435476952,15.7354307264
478,17,32,6.6422808812,235.334626925,28,36,23,2,31,61,16.4207915885,6.7446949046,2.9755387455,97.7396288318,7.9321622218,23.2264776935,19.4642203069,58.5550918795,18.6265449914
479,16,29,6.9568013058,226.299342713,36,36,16,2,47,65,14.5766846109,4.3375005082,3.3795144262,92.3105793618,10.5059002561,23.5004641731,20.4568135975,54.7649262682,17.2700342097
480,10,33,6.9693365362,228.908215508,47,36,17,2,30,74,9.810921386,4.7500358407,2.4234899458,89.8842513736,8.5775674421,18.6597950758,21.4149163246,60.0809811288,13.9785315514
481,16,31,6.6892083409,236.859580368,26,36,17,2,55,55,13.2434964537,6.2574271086,3.0226453982,95.4694026327,7.3311616527,22.0848193649,24.2527577886,59.2913677752,21.3010179611
482,21,29,6.7555510801,223.741365449,28,36,18,2,27,82,15.6654347593,5.529851574,3.9323273083,87.758839723,8.5955004578,16.1475359031,19.3549316885,55.9582934182,22.0318003759
483,17,27,6.8934598851,241.870874183,55,36,22,1,55,94,12.7465387998,3.8172850973,2.5993388947,98.5138306427,8.0937605517,17.9212058265,19.4232041797,60.8299039476,20.208650741
484,16,29,6.9646855533,229.672241885,30,36,17,2,40,93,12.2376054984,4.2808168655,2.2000320814,93.4283894503,7.6934689167,20.1656196858,23.0438557632,53.8970602199,16.8962009621
485,13,31,6.9054407174,234.928577134,28,36,22,1,51,80,14.2070297778,6.5870485518,2.4399476868,93.9107853365,5.1363090818,16.3932693924,23.2209392903,56.3613523213,16.4527579121
486,8,29,6.979545683,226.739693954,47,36,19,2,29,72,12.8589410793,4.7069287451,2.4061296276,94.8590091735,6.3456680104,16.6242195693,25.0269106789,61.9107740848,18.9168953483
487,11,32,6.7928442735,252.177065412,55,36,18,2,58,56,9.4891166203,4.2392690223,2.1103758812,93.1552630783,7.000729721,20.6875096026,27.164033875,55.9725648527,23.6310190913
488,7,28,6.7168575611,244.793337853,45,36,20,2,53,66,17.0128787614,4.9306338708,2.0149543056,96.3063214872,5.6535888096,23.7505257505,22.7068034668,58.2054631515,19.588128932
489,15,29,6.6240439846,242.17457009,30,36,16,2,56,93,11.0077568146,5.8045708074,2.2343053912,96.1748009808,9.5437571363,20.9900735472,27.1304052,60.2537209265,25.1023389208
490,21,32,6.7193398797,239.886689191,42,36,16,2,57,62,9.6018546939,7.0548369083,1.9559797193,94.9340259627,10.0699635219,20.7351492033,23.1636043763,53.1653369956,18.7354425433
491,21,32,6.6517770162,254.843077261,28,36,22,1,38,90,18.0239000586,5.8309936652,3.9645970212,89.8644213083,7.4231183358,22.7951013824,22.7577789711,53.2739962109,17.9151010523
492,19,34,6.7549935047,256.090832435,26,34,24,1,64,86,11.4706638227,5.5475660233,2.0092375852,94.0308691806,9.0939379035,24.0119764348,20.9486597418,60.2146744546,23.7421239547
493,11,28,6.8104683573,253.772548201,2,36,20,1,61,63,11.3199912067,6.342963385,4.2337604448,90.2062823,9.5828497517,17.5142805566,22.8445940617,57.9751630379,25.7277212934
494,14,32,6.7268055971,254.796850844,28,36,18,1,60,67,16.2850334711,7.1480656797,3.4990237409,89.3165470364,5.8227723254,22.5208503216,25.0671706292,56.2496218771,24.1249799771
495,12,33,6.9388231325,242.026043387,4,36,21,2,51,94,12.3458747456,5.321881395,2.1307213837,87.8197601289,5.0080639352,23.7930304845,24.2148005558,57.5639316413,13.6969581862
496,19,31,6.9880579345,241.023451699,2,36,20,2,37,61,11.5248780428,5.387109101,3.0117484192,92.3275587312,6.6399084685,16.7824764597,26.2316147534,57.5244282898,19.0799149921
497,16,30,6.7810502687,242.395047872,45,36,24,1,41,66,15.693209614,5.3841839249,3.510381473,96.2960247306,8.1959900854,23.9533961789,20.3386373326,53.1702265366,20.0966140911
498,21,31,6.8222814968,251.746337017,28,36,19,1,50,80,10.3136154632,4.053943572,1.8811117632,89.3830777465,9.6434916986,15.8084897687,22.5638724613,58.2593081785,18.4675040378
499,13,33,6.9736366888,235.200937514,122,31,22,2,50,90,14.9190189808,5.9682199468,3.2970392819,89.5600117963,8.2411205913,16.3549630319,19.6985683531,57.2246924852,22.0758773087
500,18,27,6.8512334824,239.51172346,70,1,22,2,66,75,15.1740430528,7.1870061902,4.2739902681,88.1739377039,7.5673301478,17.3141037388,26.1164575762,54.1722739599,20.7461141981
501,8,32,7.0174380432,265.459625878,78,36,22,2,69,92,12.2400942647,3.8831403951,2.0442162307,86.9493301846,7.7462087015,23.1597532302,21.1052276304,58.5700714318,15.0474623244
502,7,31,6.9900490061,232.389796059,110,30,19,1,54,56,16.4600294483,5.3753624026,3.0028284997,97.2038306966,5.8439033383,17.5107260832,25.821612089,62.5143204904,15.5734557675
503,16,33,6.864239021,225.418547533,96,36,25,2,45,70,11.0724399695,4.1456555868,3.4447454441,93.148160498,8.300778373,23.4859729083,23.1289847259,58.8772605026,17.0458035279
504,16,33,6.9832748996,263.37448849,101,1,19,2,69,79,14.7669992346,6.0953762166,3.4805540719,91.8646678662,8.9049848346,19.3170924042,22.4264088498,61.043487252,28.1513341761
505,15,31,6.9944370413,263.870681289,70,36,16,2,61,65,10.9894259053,6.2485685425,2.5495765872,97.112132275,7.7636504684,18.8905456018,24.6056186121,58.7018662317,14.4992546057
506,7,29,6.9126144573,226.83755772,70,36,24,1,45,78,11.7573094933,4.7714587847,2.038338804,94.7322286756,8.9341325492,25.0989662307,22.6018983763,53.5207170999,23.4174026338
507,11,33,7.0526766638,254.597195469,122,30,21,2,37,61,12.0928631829,4.2951430947,3.35117491,91.860370648,10.4163624174,23.5284342527,24.1260424009,55.710605696,28.0198426782
508,7,28,6.9889231217,229.549987887,113,36,19,2,58,69,16.2880189774,4.2204339996,3.2145026269,95.4144571501,8.0078847132,15.8188350355,22.6131004042,59.1341205203,20.2988823588
