,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
104,6,33,6.75,245,30,36,10,1,30,55,7.8,5.5,1.5,87,12.2,24.7,21.5,56.8,16.2
105,26,35,6.75,250,124,36,8,1,18,78,7.1,4,1.8,101,6.1,18.7,17.9,57.3,15
106,12,27,6.9166,265,101,36,13,2,35,77,12.7,13.8,1.2,100,11.5,32.1,15.4,62.8,5.1
107,29,27,6.5833,270,82,36,14,2,37,29,2.1,2,0.4,78,9.7,20.3,17.2,41.4,7.7
108,27,26,6.5833,220,92,36,14,1,9,78,23.5,4.5,4,93,2.7,11.6,29.7,55,20.8
109,25,25,6.9166,270,47,36,15,1,5,65,26.9,11.5,3.3,90,7.8,27.4,35.2,53.8,16.7
110,27,29,6.6666,212,64,36,14,1,27,26,11,4.7,1,92,4.3,13.4,17.9,49,5.6
111,27,24,6.4166,190,106,36,20,1,20,27,3.8,1.4,1.1,95,4,13.6,22.6,54,22.6
112,0,22,6.0833,172,70,13,18,1,17,80,11,2.6,4.4,97,1.8,12.3,29.3,51,36.8
113,6,32,6.25,200,40,36,10,1,3,65,14.1,2.9,5.8,90,1,8.8,22.1,53,29.5
114,28,24,6.8333,265,36,36,15,1,3,62,16.4,8.1,1.5,91,10.2,20,23.9,55.1,8.6
115,4,27,6.25,190,59,36,13,1,1,66,16.4,3.4,4.7,85,2.3,8.6,27,47.9,25
116,19,25,6.6666,240,2,36,16,1,2,80,9.3,3.7,0.9,82,3.5,19.1,23.4,55,9.6
117,23,19,6.5,206,47,36,20,1,13,76,13.8,2.5,2.6,80,1.4,8.3,23.1,53.5,16.2
118,6,33,6.25,185,122,36,9,1,5,64,7.6,2.2,1.8,88,1.5,10.2,17.5,55.9,14.9
119,21,23,6.5,200,43,36,19,2,56,28,2.1,1.4,0.4,85,2.3,13.4,15.5,36.8,7.2
120,21,26,7,245,92,36,25,3,70,58,4.4,3.9,0.2,87,10.8,25,15.2,60.6,2.9
121,20,24,6.3333,220,96,36,17,1,4,78,9.8,2.6,2,93,1.9,8.2,17.6,49.2,10.3
122,6,38,7,245,70,13,3,1,9,75,18.3,6.5,1.8,93,2.5,20.2,25.5,55.5,9.6
123,1,28,6.25,205,101,36,25,3,70,61,7,2.8,4.4,84,1.5,13.1,16.5,53.6,29.3
124,10,25,7,222,70,19,16,1,20,37,6.2,2.9,1.1,94,7.7,14,21.7,50.4,11.6
125,4,24,6.6666,225,24,36,19,1,11,81,9.4,2.4,0.7,86,2.1,9,17.1,56.1,4.9
126,9,26,6.5833,230,62,36,17,2,35,81,14,9.5,7.4,108,5.6,22.2,18.6,58.7,27.7
127,29,34,6.8333,250,45,36,7,1,4,30,2.7,2.8,0.4,78,9.3,23.4,17.4,37.6,6.6
128,25,24,6.75,220,122,8,25,3,70,1,6,4,1,71,6.3,8,16,30,6.7
129,10,30,6.9166,265,70,36,9,1,1,71,13.7,11.8,1.4,90,11.7,29.3,18.7,60.4,7.1
130,6,24,6.9166,240,95,5,19,2,45,69,5.8,4,0.6,89,9.1,21.4,18.2,55.7,7.7
131,15,34,6.3333,220,56,36,8,1,5,74,19,4.1,4.6,91,4.2,10.8,31.5,51.7,26.7
132,4,27,6.3333,191,84,36,16,2,55,59,7.5,2.3,1.7,89,1.7,9.2,16,54.8,11.8
133,24,27,6.8333,240,72,36,15,1,13,81,6.5,7.4,1.1,91,14.2,23.9,12.8,61.6,7.8
134,21,22,6.3333,185,54,36,19,1,10,73,10.7,3.6,6.4,87,3.8,9.6,20.1,47.8,31.7
135,28,28,6.5,225,1,36,25,3,70,20,1.8,1.8,1,96,3.8,17.9,14.6,38.4,16.4
136,3,27,6.4166,190,59,36,15,1,22,5,1.6,0.8,0.8,89,2.6,7.9,13.7,34,14.3
137,22,37,6.75,254,28,36,4,1,1,17,4.1,3.7,1.1,84,3.6,24.5,17.4,46.1,14.2
138,7,20,6.4166,200,70,9,20,1,7,68,12.8,3.4,5.5,86,1.7,10.7,25.3,43.7,28.1
139,20,24,6.9166,245,47,34,16,1,3,82,12.7,8.1,0.4,92,16.8,25.6,23.4,62.6,3.2
140,23,26,6.0833,190,47,36,15,1,18,31,20.4,4,6.1,87,1.8,11.2,27.3,55.7,29.8
141,18,27,6.3333,215,41,36,13,1,7,45,15.2,2.2,2.7,87,0.8,6.7,20.5,56.5,12.9
142,25,24,6.8333,238,81,36,25,3,70,8,1,1.4,0.1,91,7.9,15.7,9.6,51.5,2.9
143,7,25,6.3333,185,112,36,18,2,46,9,1.4,0.7,0.3,88,8.6,11.5,15.1,46.8,10.7
144,21,29,6.8333,235,70,34,10,2,36,74,10.4,5.4,0.9,85,7.8,16.7,18.2,52.6,5.5
145,21,23,6.5833,205,70,11,17,1,20,79,15.4,2.8,2.7,86,1.4,8.5,20.3,58.7,12.8
146,2,27,6.5833,220,76,36,15,1,2,81,10.5,4.9,4.4,91,2.3,16.5,18.7,51.3,24.7
147,9,26,6.9166,265,108,23,17,1,30,46,7,5.6,0.7,104,14.1,22.4,18,55.9,6
148,3,23,7,240,122,36,20,1,9,81,7.5,4.1,1.2,89,4.4,17.1,17,51.3,9.5
149,29,30,6.5,195,52,36,25,3,70,80,7.3,2.7,1.8,90,2,10.3,14.2,52,10.2
150,7,21,6.3333,210,62,36,19,1,19,76,12.3,2.9,1.9,84,2.4,7.7,16.3,56.6,9.3
